timepoint_id,sample_id,beta_param,gamma_param,Infected_sol,Recovered_sol,Susceptible_sol
0,26,0.02772512286901474,0.11897791922092438,1.0,1.1897791779569289e-11,1000.0
1,26,0.0,0.11897791922092438,0.892758846282959,0.11272991448640823,999.9935913085938
2,26,0.0,0.11897791922092438,0.7926154732704163,0.21287302672863007,999.9940795898438
3,26,0.0,0.11897791922092438,0.7037057280540466,0.3017827570438385,999.9940795898438
4,26,0.0,0.11897791922092438,0.6247692108154297,0.3807195723056793,999.9933471679688
0,27,0.027293628081679344,0.137080579996109,1.0,1.3708057258754458e-11,1000.0
1,27,0.0,0.137080579996109,0.8766674995422363,0.12872615456581116,999.9945678710938
2,27,0.0,0.137080579996109,0.7643675208091736,0.24102745950222015,999.9945678710938
3,27,0.0,0.137080579996109,0.6664509177207947,0.33894261717796326,999.9945678710938
4,27,0.0,0.137080579996109,0.5810785293579102,0.42431503534317017,999.9945678710938
0,28,0.0279283057898283,0.150997132062912,1.0,1.5099713146504712e-11,1000.0
1,28,0.0,0.150997132062912,0.8646621704101562,0.14085039496421814,999.994384765625
2,28,0.0,0.150997132062912,0.7434793710708618,0.26203253865242004,999.9942016601562
3,28,0.0,0.150997132062912,0.6392808556556702,0.3662309944629669,999.9942016601562
4,28,0.0,0.150997132062912,0.5496858358383179,0.4558262228965759,999.994140625
0,29,0.026972217485308647,0.123088538646698,1.0,1.2308854456521967e-11,1000.0
1,29,0.0,0.123088538646698,0.8889631032943726,0.1163744255900383,999.99462890625
2,29,0.0,0.123088538646698,0.786008358001709,0.2193293571472168,999.99462890625
3,29,0.0,0.123088538646698,0.6949770450592041,0.3103605806827545,999.99462890625
4,29,0.0,0.123088538646698,0.6144885420799255,0.39084914326667786,999.99462890625
0,30,0.026804767549037933,0.1208861768245697,1.0,1.2088618300820642e-11,1000.0
1,30,0.0,0.1208861768245697,0.8908929824829102,0.11441220343112946,999.9946899414062
2,30,0.0,0.1208861768245697,0.7894520163536072,0.21585392951965332,999.9946899414062
3,30,0.0,0.1208861768245697,0.6995623111724854,0.30574479699134827,999.9946899414062
4,30,0.0,0.1208861768245697,0.6199046969413757,0.38540011644363403,999.9946899414062
0,31,0.027854755520820618,0.1788390576839447,1.0,1.7883906161531016e-11,1000.0
1,31,0.0,0.1788390576839447,0.8409074544906616,0.16457466781139374,999.9945068359375
2,31,0.0,0.1788390576839447,0.7032007575035095,0.30228132009506226,999.9945068359375
3,31,0.0,0.1788390576839447,0.5880447626113892,0.41743719577789307,999.9945068359375
4,31,0.0,0.1788390576839447,0.49174681305885315,0.5137349963188171,999.9945068359375
