timepoint_id,sample_id,beta_param,gamma_param,I_sol,R_sol,S_sol
1,12,0.0001,0.1298733949661255,3.5257620811462402,0.4365893006324768,997.0376586914062
2,12,0.0001,0.1298733949661255,3.41939115524292,0.8944920301437378,996.6861572265625
3,12,0.0001,0.1298733949661255,3.3161091804504395,1.3385800123214722,996.3453369140625
4,12,0.0001,0.1298733949661255,3.215833902359009,1.7692543268203735,996.0149536132812
0,13,0.026610201224684715,0.1745600402355194,1.0,1.7456003656435293e-11,1000.0
1,13,0.0001,0.1745600402355194,3.398193597793579,0.5898745656013489,997.011962890625
2,13,0.0001,0.1745600402355194,3.143808603286743,1.1830633878707886,996.6731567382812
3,13,0.0001,0.1745600402355194,2.908360242843628,1.731846809387207,996.3598022460938
4,13,0.0001,0.1745600402355194,2.6904542446136475,2.239530324935913,996.0700073242188
0,14,0.026351820677518845,0.12158668786287308,1.0,1.2158669036865799e-11,1000.0
1,14,0.0001,0.12158668786287308,3.551776170730591,0.4086189568042755,997.0396118164062
2,14,0.0001,0.12158668786287308,3.4740536212921143,0.840467631816864,996.6854858398438
3,14,0.0001,0.12158668786287308,3.3979086875915527,1.2628662586212158,996.3392333984375
4,14,0.0001,0.12158668786287308,3.323315143585205,1.67600679397583,996.0006713867188
0,15,0.02630135975778103,0.10253756493330002,1.0,1.0253757044831335e-11,1000.0
1,15,0.0001,0.10253756493330002,3.6107583045959473,0.34431028366088867,997.044921875
2,15,0.0001,0.10253756493330002,3.6005287170410156,0.714548647403717,996.6849365234375
3,15,0.0001,0.10253756493330002,3.5901987552642822,1.083738088607788,996.3260498046875
4,15,0.0001,0.10253756493330002,3.5797693729400635,1.4518682956695557,995.9683837890625
0,16,0.02641626074910164,0.17438393831253052,1.0,1.7438394478430652e-11,1000.0
1,16,0.0001,0.17438393831253052,3.3807032108306885,0.5862385034561157,997.0330810546875
2,16,0.0001,0.17438393831253052,3.128230094909668,1.175778865814209,996.696044921875
3,16,0.0001,0.17438393831253052,2.8945064544677734,1.7212918996810913,996.3842163085938
4,16,0.0001,0.17438393831253052,2.678154945373535,2.2260472774505615,996.0958251953125
0,17,0.027446219697594643,0.15938690304756165,1.0,1.5938691338979183e-11,1000.0
1,17,0.0001,0.15938690304756165,3.528470754623413,0.5508115887641907,996.9207153320312
2,17,0.0001,0.15938690304756165,3.3178393840789795,1.1132036447525024,996.5689697265625
3,17,0.0001,0.15938690304756165,3.1196646690368652,1.6420238018035889,996.23828125
4,17,0.0001,0.15938690304756165,2.9332239627838135,2.1392574310302734,995.927490234375
