timezero,unit,target,value
2023-01-16,MD,1 wk ahead inc flu hosp,61
2023-01-16,NY,1 wk ahead inc flu hosp,243
2023-01-16,OH,1 wk ahead inc flu hosp,107
2023-01-16,WV,1 wk ahead inc flu hosp,13
2023-01-23,NJ,1 wk ahead inc flu hosp,70
2023-01-23,DE,1 wk ahead inc flu hosp,5
2023-01-23,MD,1 wk ahead inc flu hosp,37
2023-01-23,NY,1 wk ahead inc flu hosp,154
2023-01-23,OH,1 wk ahead inc flu hosp,67
2023-01-23,WV,1 wk ahead inc flu hosp,20
2023-01-30,NJ,1 wk ahead inc flu hosp,31
2023-01-30,DE,1 wk ahead inc flu hosp,15
2023-01-30,MD,1 wk ahead inc flu hosp,56
2023-01-30,NY,1 wk ahead inc flu hosp,94
2023-01-30,OH,1 wk ahead inc flu hosp,63
2023-01-30,WV,1 wk ahead inc flu hosp,23
2023-02-06,NJ,1 wk ahead inc flu hosp,28
2023-02-06,DE,1 wk ahead inc flu hosp,1
2023-02-06,MD,1 wk ahead inc flu hosp,36
2023-02-06,NY,1 wk ahead inc flu hosp,98
2023-02-06,OH,1 wk ahead inc flu hosp,46
2023-02-06,WV,1 wk ahead inc flu hosp,16
2023-02-13,NJ,1 wk ahead inc flu hosp,56
2023-02-13,DE,1 wk ahead inc flu hosp,1
2023-02-13,MD,1 wk ahead inc flu hosp,25
2023-02-13,NY,1 wk ahead inc flu hosp,84
2023-02-13,OH,1 wk ahead inc flu hosp,42
2023-02-13,WV,1 wk ahead inc flu hosp,10
2023-02-20,NJ,1 wk ahead inc flu hosp,41
2023-02-20,DE,1 wk ahead inc flu hosp,0
2023-02-20,MD,1 wk ahead inc flu hosp,26
2023-02-20,NY,1 wk ahead inc flu hosp,50
2023-02-20,OH,1 wk ahead inc flu hosp,24
2023-02-20,WV,1 wk ahead inc flu hosp,13
2023-02-27,NJ,1 wk ahead inc flu hosp,27
2023-02-27,DE,1 wk ahead inc flu hosp,5
2023-02-27,MD,1 wk ahead inc flu hosp,12
2023-02-27,NY,1 wk ahead inc flu hosp,51
2023-02-27,OH,1 wk ahead inc flu hosp,25
2023-02-27,WV,1 wk ahead inc flu hosp,8
2023-03-06,NJ,1 wk ahead inc flu hosp,25
2023-03-06,DE,1 wk ahead inc flu hosp,1
2023-03-06,MD,1 wk ahead inc flu hosp,16
2023-03-06,NY,1 wk ahead inc flu hosp,57
2023-03-06,OH,1 wk ahead inc flu hosp,26
2023-03-06,WV,1 wk ahead inc flu hosp,4
2023-03-13,NJ,1 wk ahead inc flu hosp,22
2023-03-13,DE,1 wk ahead inc flu hosp,0
2023-03-13,MD,1 wk ahead inc flu hosp,14
2023-03-13,NY,1 wk ahead inc flu hosp,64
2023-03-13,OH,1 wk ahead inc flu hosp,32
2023-03-13,WV,1 wk ahead inc flu hosp,10
2023-03-20,NJ,1 wk ahead inc flu hosp,45
2023-03-20,DE,1 wk ahead inc flu hosp,2
2023-03-20,MD,1 wk ahead inc flu hosp,19
2023-03-20,NY,1 wk ahead inc flu hosp,73
2023-03-20,OH,1 wk ahead inc flu hosp,34
2023-03-20,WV,1 wk ahead inc flu hosp,15
2023-03-27,NJ,1 wk ahead inc flu hosp,37
2023-03-27,DE,1 wk ahead inc flu hosp,2
2023-03-27,MD,1 wk ahead inc flu hosp,9
2023-03-27,NY,1 wk ahead inc flu hosp,78
2023-03-27,OH,1 wk ahead inc flu hosp,30
2023-03-27,WV,1 wk ahead inc flu hosp,7
2023-04-03,NJ,1 wk ahead inc flu hosp,41
2023-04-03,DE,1 wk ahead inc flu hosp,0
2023-04-03,MD,1 wk ahead inc flu hosp,16
2023-04-03,NY,1 wk ahead inc flu hosp,76
2023-04-03,OH,1 wk ahead inc flu hosp,13
2023-04-03,WV,1 wk ahead inc flu hosp,9
2023-04-10,NJ,1 wk ahead inc flu hosp,43
2023-04-10,DE,1 wk ahead inc flu hosp,0
2023-04-10,MD,1 wk ahead inc flu hosp,10
2023-04-10,NY,1 wk ahead inc flu hosp,74
2023-04-10,OH,1 wk ahead inc flu hosp,26
2023-04-10,WV,1 wk ahead inc flu hosp,5
2023-04-17,NJ,1 wk ahead inc flu hosp,33
2023-04-17,DE,1 wk ahead inc flu hosp,0
2023-04-17,MD,1 wk ahead inc flu hosp,11
2023-04-17,NY,1 wk ahead inc flu hosp,45
2023-04-17,OH,1 wk ahead inc flu hosp,18
2023-04-17,WV,1 wk ahead inc flu hosp,4
2023-04-24,NJ,1 wk ahead inc flu hosp,15
2023-04-24,DE,1 wk ahead inc flu hosp,0
2023-04-24,MD,1 wk ahead inc flu hosp,9
2023-04-24,NY,1 wk ahead inc flu hosp,36
2023-04-24,OH,1 wk ahead inc flu hosp,17
2023-04-24,WV,1 wk ahead inc flu hosp,6
